Numero,Sesso,Comune di Nascita,Sigla Comune Nascita,Data Nascita,Comune di  Morte,Sigla Comune Morte,Data  Morte,Ora Morte,Data Atto,Comune di Residenza,Sigla Residenza,Giorno Morte,Anno Morte,Mese Morte,Eta Morte
1,F,San Giovanni Rotondo,FG,02/03/1952,Foggia,FG,30/12/2023,10:00:00,01/01/2024,Volturino,FG,Sabato,2023,Dicembre,71
2,M,Squinzano,LE,11/10/1958,Foggia,FG,31/12/2023,00:50:00,01/01/2024,Squinzano,LE,Domenica,2023,Dicembre,65
3,M,Celenza Valfortore,FG,04/03/1934,Foggia,FG,31/12/2023,10:30:00,01/01/2024,Celenza Valfortore,FG,Domenica,2023,Dicembre,89
4,M,Lesina,FG,25/01/1944,Foggia,FG,30/12/2023,17:21:00,01/01/2024,Lesina,FG,Sabato,2023,Dicembre,79
5,M,Carapelle,FG,15/05/1937,Foggia,FG,31/12/2023,13:15:00,02/01/2024,Carapelle,FG,Domenica,2023,Dicembre,86
6,M,Canosa Di Puglia,BT,01/04/1959,Foggia,FG,01/01/2024,10:55:00,02/01/2024,Canosa Di Puglia,BT,Lunedi,2024,Gennaio,64
7,M,Lucera,FG,30/11/1971,Foggia,FG,30/12/2023,17:15:00,02/01/2024,Lucera,FG,Sabato,2023,Dicembre,52
8,M,Foggia,FG,18/09/1942,Foggia,FG,31/12/2023,23:10:00,02/01/2024,Troia,FG,Domenica,2023,Dicembre,81
9,M,Pietramontecorvino,FG,30/10/1933,Foggia,FG,02/01/2024,06:00:00,03/01/2024,Pietramontecorvino,FG,Martedi,2024,Gennaio,90
10,M,Pietramontecorvino,FG,05/11/1958,Foggia,FG,02/01/2024,00:52:00,03/01/2024,Pietramontecorvino,FG,Martedi,2024,Gennaio,65
11,M,Foggia,FG,13/11/1975,Foggia,FG,03/01/2024,01:10:00,04/01/2024,Anagraficamente Irreperibile,nd,Mercoledi,2024,Gennaio,48
12,M,Vico Del Gargano,FG,06/08/1941,Foggia,FG,03/01/2024,14:11:00,04/01/2024,Vico Del Gargano,FG,Mercoledi,2024,Gennaio,82
13,M,Cerignola,FG,24/09/1946,Foggia,FG,05/01/2024,09:00:00,06/01/2024,Cerignola,FG,Venerdi,2024,Gennaio,77
14,M,Lacedonia,AV,01/12/1933,Foggia,FG,05/01/2024,17:45:00,06/01/2024,Ascoli Satriano,FG,Venerdi,2024,Gennaio,90
15,F,Volturara Appula,FG,11/08/1935,Foggia,FG,05/01/2024,13:10:00,06/01/2024,Volturara Appula,FG,Venerdi,2024,Gennaio,88
16,F,Cerignola,FG,11/08/1942,Foggia,FG,06/01/2024,12:25:00,08/01/2024,Cerignola,FG,Sabato,2024,Gennaio,81
17,M,Biccari,FG,05/05/1942,Foggia,FG,07/01/2024,01:20:00,08/01/2024,Troia,FG,Domenica,2024,Gennaio,81
18,M,San Severo,FG,09/05/1958,Foggia,FG,07/01/2024,05:00:00,08/01/2024,San Severo,FG,Domenica,2024,Gennaio,65
19,M,Lucera,FG,26/12/1933,Foggia,FG,08/01/2024,06:17:00,09/01/2024,Lucera,FG,Lunedi,2024,Gennaio,90
20,M,Rodi Garganico,FG,14/10/1951,Foggia,FG,08/01/2024,15:10:00,09/01/2024,Rodi Garganico,FG,Lunedi,2024,Gennaio,72
21,F,Celenza Valfortore,FG,05/06/1943,Foggia,FG,08/01/2024,11:30:00,09/01/2024,Celenza Valfortore,FG,Luned ,2024,Gennaio,80
22,M,Vieste,FG,07/06/1939,Foggia,FG,08/01/2024,21:05:00,10/01/2024,Vieste,FG,Luned ,2024,Gennaio,84
23,F,Rignano Garganico,FG,04/04/1953,Foggia,FG,09/01/2024,11:20:00,10/01/2024,Rignano Garganico,FG,Marted ,2024,Gennaio,70
24,F,Biccari,FG,06/12/1965,Foggia,FG,09/01/2024,15:25:00,10/01/2024,Biccari,FG,Marted ,2024,Gennaio,58
25,F,Avellino,AV,08/07/1940,Foggia,FG,10/01/2024,01:10:00,11/01/2024,Carapelle,FG,Mercoled ,2024,Gennaio,83
26,M,Lucera,FG,31/12/1940,Foggia,FG,10/01/2024,14:57:00,11/01/2024,Lucera,FG,Mercoled ,2024,Gennaio,83
27,F,Listeava -Com. Di Ostroveni,nd,13/12/1939,Foggia,FG,09/01/2024,09:15:00,11/01/2024,Sadova,nd,Marted ,2024,Gennaio,84
28,M,Napoli,NA,23/10/1957,Foggia,FG,09/01/2024,18:20:00,11/01/2024,Vieste,FG,Marted ,2024,Gennaio,66
29,M,Foggia,FG,16/02/1962,Foggia,FG,11/01/2024,07:15:00,12/01/2024,Manfredonia,FG,Giovedi,2024,Gennaio,61
30,F,Frattaminore,NA,06/11/1976,Foggia,FG,11/01/2024,02:23:00,12/01/2024,Arzano,NA,Giovedi,2024,Gennaio,47
31,M,Vignole Borbera,AL,23/01/1947,Foggia,FG,11/01/2024,12:20:00,12/01/2024,Rocchetta Sant'Antonio,FG,Gioved ,2024,Gennaio,76
32,M,San Severo,FG,15/05/1955,Foggia,FG,12/01/2024,05:39:00,13/01/2024,San Severo,FG,Venerd ,2024,Gennaio,68
33,M,Pietramontecorvino,FG,08/10/1938,Foggia,FG,12/01/2024,05:45:00,13/01/2024,Lucera,FG,Venerd ,2024,Gennaio,85
